GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Zetch Reviews App,io.zetch.app.web,ReviewController,0,96,0,2,0,24,0,7,0,6
Zetch Reviews App,io.zetch.app.web,LocationController,0,76,0,0,0,24,0,10,0,10
Zetch Reviews App,io.zetch.app.web,LogController,0,21,0,0,0,6,0,3,0,3
Zetch Reviews App,io.zetch.app.web,UserController,0,57,0,0,0,15,0,8,0,8
Zetch Reviews App,io.zetch.app.service,UserService,12,93,4,4,1,30,5,7,1,7
Zetch Reviews App,io.zetch.app.service,ReviewService,6,81,0,6,0,19,1,8,1,5
Zetch Reviews App,io.zetch.app.service,LocationService,6,172,1,13,0,47,2,16,1,10
Zetch Reviews App,io.zetch.app.domain.user,UserDto,0,27,0,0,0,1,0,5,0,5
Zetch Reviews App,io.zetch.app.domain.user,UserGetDto,0,33,0,0,0,1,0,6,0,6
Zetch Reviews App,io.zetch.app.domain.user,UserEntity,5,50,1,1,0,9,1,3,0,3
Zetch Reviews App,io.zetch.app.domain.user,UserPutDto,0,21,0,0,0,1,0,4,0,4
Zetch Reviews App,io.zetch.app.domain.user,Affiliation,0,63,0,4,0,10,0,5,0,3
Zetch Reviews App,io.zetch.app.domain.review,ReviewPostDto,0,27,0,0,0,1,0,5,0,5
Zetch Reviews App,io.zetch.app.domain.review,ReviewEntity,7,0,0,0,2,0,2,0,2,0
Zetch Reviews App,io.zetch.app.domain.review,ReviewGetDto,0,33,0,0,0,1,0,6,0,6
Zetch Reviews App,io.zetch.app.domain,BaseEntity,12,25,3,7,1,8,3,5,1,2
Zetch Reviews App,io.zetch.app.interceptor,InterceptorConfig,0,20,0,0,0,4,0,3,0,3
Zetch Reviews App,io.zetch.app.interceptor,LogInterceptor,0,75,0,2,0,17,0,4,0,3
Zetch Reviews App,io.zetch.app.seed,DataLoader,0,32,2,2,0,10,2,4,0,4
Zetch Reviews App,io.zetch.app.seed,SeedLocations,7,63,0,0,2,32,1,1,1,1
Zetch Reviews App,io.zetch.app.seed,SeedUsers,7,63,0,0,2,31,1,1,1,1
Zetch Reviews App,io.zetch.app.domain.location,Type,6,50,1,3,1,8,1,4,0,3
Zetch Reviews App,io.zetch.app.domain.location,LocationEntity,0,28,0,0,0,2,0,2,0,2
Zetch Reviews App,io.zetch.app.domain.location,LocationGetDto,0,33,0,0,0,1,0,6,0,6
Zetch Reviews App,io.zetch.app.domain.location,LocationDto,0,27,0,0,0,1,0,5,0,5
Zetch Reviews App,io.zetch.app.security,SecurityConfig,0,44,0,0,0,12,0,3,0,3
Zetch Reviews App,io.zetch.app.security,CognitoService,66,29,0,0,14,11,2,1,2,1
Zetch Reviews App,io.zetch.app.security,SecurityService,4,66,2,6,2,15,2,9,0,7
Zetch Reviews App,io.zetch.app,Application,5,3,0,0,2,1,1,1,1,1
