GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Zetch Reviews App,io.zetch.app.exception,ErrorControllerAdvice,0,87,0,0,0,21,0,6,0,6
Zetch Reviews App,io.zetch.app.web,LocationController,16,96,0,0,4,30,1,12,1,12
Zetch Reviews App,io.zetch.app.web,UserController,0,57,0,0,0,15,0,8,0,8
Zetch Reviews App,io.zetch.app.web,ReviewController,0,44,0,0,0,15,0,5,0,5
Zetch Reviews App,io.zetch.app.web,ReplyController,3,51,0,0,1,13,1,7,1,7
Zetch Reviews App,io.zetch.app.web,LogController,0,21,0,0,0,6,0,3,0,3
Zetch Reviews App,io.zetch.app.domain,BaseEntity,0,37,1,9,0,9,1,7,0,3
Zetch Reviews App,io.zetch.app.interceptor,InterceptorConfig,0,20,0,0,0,4,0,3,0,3
Zetch Reviews App,io.zetch.app.interceptor,LogInterceptor,0,75,0,2,0,17,0,4,0,3
Zetch Reviews App,io.zetch.app.domain.location,LocationAvgRatingDto,0,13,0,0,0,4,0,1,0,1
Zetch Reviews App,io.zetch.app.domain.location,LocationGetDto,0,33,0,0,0,1,0,6,0,6
Zetch Reviews App,io.zetch.app.domain.location,LocationSearchDto,0,21,0,0,0,1,0,4,0,4
Zetch Reviews App,io.zetch.app.domain.location,LocationDto,0,27,0,0,0,1,0,5,0,5
Zetch Reviews App,io.zetch.app.domain.location,Type,6,50,1,3,1,8,1,4,0,3
Zetch Reviews App,io.zetch.app.domain.location,LocationEntity,0,28,0,0,0,2,0,2,0,2
Zetch Reviews App,io.zetch.app.security,SecurityConfig,0,44,0,0,0,12,0,3,0,3
Zetch Reviews App,io.zetch.app.security,CognitoService,12,51,0,0,4,14,0,2,0,2
Zetch Reviews App,io.zetch.app.security,SecurityService,0,89,0,10,0,21,0,13,0,8
Zetch Reviews App,io.zetch.app.domain.reply,ReplyEntity,0,16,0,0,0,2,0,1,0,1
Zetch Reviews App,io.zetch.app.service,ReviewService,0,184,2,20,0,39,2,17,0,8
Zetch Reviews App,io.zetch.app.service,UserService,0,105,0,8,0,31,0,12,0,8
Zetch Reviews App,io.zetch.app.service,LocationService,14,280,1,17,2,70,3,20,2,12
Zetch Reviews App,io.zetch.app.service,ReplyService,0,126,0,8,0,32,0,11,0,7
Zetch Reviews App,io.zetch.app.domain.review,ReviewEntity,0,20,0,0,0,2,0,2,0,2
Zetch Reviews App,io.zetch.app.domain.review,ReviewGetDto,0,33,0,0,0,1,0,6,0,6
Zetch Reviews App,io.zetch.app.domain.review,ReviewPostDto,0,27,0,0,0,1,0,5,0,5
Zetch Reviews App,io.zetch.app.domain.user,UserPutDto,0,21,0,0,0,1,0,4,0,4
Zetch Reviews App,io.zetch.app.domain.user,UserDto,0,27,0,0,0,1,0,5,0,5
Zetch Reviews App,io.zetch.app.domain.user,UserGetDto,0,33,0,0,0,1,0,6,0,6
Zetch Reviews App,io.zetch.app.domain.user,UserEntity,5,50,1,1,0,9,1,3,0,3
Zetch Reviews App,io.zetch.app.domain.user,Affiliation,0,49,0,4,0,8,0,5,0,3
Zetch Reviews App,io.zetch.app,Application,5,3,0,0,2,1,1,1,1,1
